0074;LATIN SMALL LETTER T
0075;LATIN SMALL LETTER U
0076;LATIN SMALL LETTER V
0077;LATIN SMALL LETTER W
0078;LATIN SMALL LETTER X
0079;LATIN SMALL LETTER Y
007A;LATIN SMALL LETTER Z
007B;LEFT CURLY BRACKET
007C;VERTICAL LINE
007D;RIGHT CURLY BRACKET
007E;TILDE
00A1;INVERTED EXCLAMATION MARK
00A3;POUND SIGN
00A4;CURRENCY SIGN
00A5;YEN SIGN
00A6;BROKEN BAR
00A7;SECTION SIGN
00A8;DIAERESIS
00A9;COPYRIGHT SIGN
00AC;NOT SIGN
00B0;DEGREE SIGN
00B1;PLUS-MINUS SIGN
00B6;PILCROW SIGN
00B7;MIDDLE DOT
00BC;VULGAR FRACTION ONE QUARTER
00BD;VULGAR FRACTION ONE HALF
00BE;VULGAR FRACTION THREE QUARTERS
00BF;INVERTED QUESTION MARK
00C4;LATIN CAPITAL LETTER A WITH DIAERESIS
00C5;LATIN CAPITAL LETTER A WITH RING ABOVE
00C6;LATIN CAPITAL LETTER AE
00C9;LATIN CAPITAL LETTER E WITH ACUTE
00D1;LATIN CAPITAL LETTER N WITH TILDE
00D6;LATIN CAPITAL LETTER O WITH DIAERESIS
00D8;LATIN CAPITAL LETTER O WITH STROKE
00DC;LATIN CAPITAL LETTER U WITH DIAERESIS
00DF;LATIN SMALL LETTER SHARP S
00E0;LATIN SMALL LETTER A WITH GRAVE
00E4;LATIN SMALL LETTER A WITH DIAERESIS
00E5;LATIN SMALL LETTER A WITH RING ABOVE
00E6;LATIN SMALL LETTER AE
00E7;LATIN SMALL LETTER C WITH CEDILLA
00E8;LATIN SMALL LETTER E WITH GRAVE
00E9;LATIN SMALL LETTER E WITH ACUTE
00EC;LATIN SMALL LETTER I WITH GRAVE
00F1;LATIN SMALL LETTER N WITH TILDE
00F2;LATIN SMALL LETTER O WITH GRAVE
00F6;LATIN SMALL LETTER O WITH DIAERESIS
00F7;DIVISION SIGN
00F8;LATIN SMALL LETTER O WITH STROKE
00F9;LATIN SMALL LETTER U WITH GRAVE
00FC;LATIN SMALL LETTER U WITH DIAERESIS
0391;GREEK CAPITAL LETTER ALPHA
0392;GREEK CAPITAL LETTER BETA
0393;GREEK CAPITAL LETTER GAMMA
0394;GREEK CAPITAL LETTER DELTA
0395;GREEK CAPITAL LETTER EPSILON
0396;GREEK CAPITAL LETTER ZETA
0397;GREEK CAPITAL LETTER ETA
0398;GREEK CAPITAL LETTER THETA
0399;GREEK CAPITAL LETTER IOTA
039A;GREEK CAPITAL LETTER KAPPA
039B;GREEK CAPITAL LETTER LAMDA
039C;GREEK CAPITAL LETTER MU
039D;GREEK CAPITAL LETTER NU
039E;GREEK CAPITAL LETTER XI
039F;GREEK CAPITAL LETTER OMICRON
03A0;GREEK CAPITAL LETTER PI
03A1;GREEK CAPITAL LETTER RHO
03A3;GREEK CAPITAL LETTER SIGMA
03A4;GREEK CAPITAL LETTER TAU
03A5;GREEK CAPITAL LETTER UPSILON
03A6;GREEK CAPITAL LETTER PHI
03A7;GREEK CAPITAL LETTER CHI
03A8;GREEK CAPITAL LETTER PSI
03A9;GREEK CAPITAL LETTER OMEGA
03B1;GREEK SMALL LETTER ALPHA
03B2;GREEK SMALL LETTER BETA
03B3;GREEK SMALL LETTER GAMMA
03B4;GREEK SMALL LETTER DELTA
03B5;GREEK SMALL LETTER EPSILON
03B6;GREEK SMALL LETTER ZETA
03B7;GREEK SMALL LETTER ETA
03B8;GREEK SMALL LETTER THETA
03B9;GREEK SMALL LETTER IOTA
03BA;GREEK SMALL LETTER KAPPA
03BB;GREEK SMALL LETTER LAMDA
03BC;GREEK SMALL LETTER MU
03BD;GREEK SMALL LETTER NU
03BE;GREEK SMALL LETTER XI
03BF;GREEK SMALL LETTER OMICRON
03C0;GREEK SMALL LETTER PI
03C1;GREEK SMALL LETTER RHO
03C2;GREEK SMALL LETTER FINAL SIGMA
03C3;GREEK SMALL LETTER SIGMA
03C4;GREEK SMALL LETTER TAU
03C5;GREEK SMALL LETTER UPSILON
03C6;GREEK SMALL LETTER PHI
03C7;GREEK SMALL LETTER CHI
03C8;GREEK SMALL LETTER PSI
03C9;GREEK SMALL LETTER OMEGA
2019;RIGHT SINGLE QUOTATION MARK
201B;SINGLE HIGH-REVERSED-9 QUOTATION MARK
20A7;PESETA SIGN
2190;LEFTWARDS ARROW
2191;UPWARDS ARROW
2192;RIGHTWARDS ARROW
2193;DOWNWARDS ARROW
2194;LEFT RIGHT ARROW
2195;UP DOWN ARROW
2500;BOX DRAWINGS LIGHT HORIZONTAL
2502;BOX DRAWINGS LIGHT VERTICAL
250C;BOX DRAWINGS LIGHT DOWN AND RIGHT
2510;BOX DRAWINGS LIGHT DOWN AND LEFT
2514;BOX DRAWINGS LIGHT UP AND RIGHT
2518;BOX DRAWINGS LIGHT UP AND LEFT
251C;BOX DRAWINGS LIGHT VERTICAL AND RIGHT
2524;BOX DRAWINGS LIGHT VERTICAL AND LEFT
252C;BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
2534;BOX DRAWINGS LIGHT UP AND HORIZONTAL
253C;BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
2571;BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
2572;BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
2573;BOX DRAWINGS LIGHT DIAGONAL CROSS
2574;BOX DRAWINGS LIGHT LEFT
2575;BOX DRAWINGS LIGHT UP
2576;BOX DRAWINGS LIGHT RIGHT
2577;BOX DRAWINGS LIGHT DOWN
2580;UPPER HALF BLOCK
2582;LOWER ONE QUARTER BLOCK
2584;LOWER HALF BLOCK
2588;FULL BLOCK
258C;LEFT HALF BLOCK
258E;LEFT ONE QUARTER BLOCK
2590;RIGHT HALF BLOCK
2596;QUADRANT LOWER LEFT
2597;QUADRANT LOWER RIGHT
2598;QUADRANT UPPER LEFT
2599;QUADRANT UPPER LEFT AND LOWER LEFT AND LOWER RIGHT
259A;QUADRANT UPPER LEFT AND LOWER RIGHT
259B;QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER LEFT
259C;QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER RIGHT
259D;QUADRANT UPPER RIGHT
259E;QUADRANT UPPER RIGHT AND LOWER LEFT
259F;QUADRANT UPPER RIGHT AND LOWER LEFT AND LOWER RIGHT
25A0;BLACK SQUARE
25A1;WHITE SQUARE
25B2;BLACK UP-POINTING TRIANGLE
25B6;BLACK RIGHT-POINTING TRIANGLE
25BC;BLACK DOWN-POINTING TRIANGLE
25C0;BLACK LEFT-POINTING TRIANGLE
25CB;WHITE CIRCLE
25CF;BLACK CIRCLE
263B;BLACK SMILING FACE
2640;FEMALE SIGN
2642;MALE SIGN
2660;BLACK SPADE SUIT
2663;BLACK CLUB SUIT
2665;BLACK HEART SUIT
2666;BLACK DIAMOND SUIT
2669;QUARTER NOTE
266A;EIGHTH NOTE
